reamostragem,media_valor,pct_medio,pct_mediano,mq_valor_causa,pct_por_sub,mq_pct_p,mq_valor_ce,mq_pct_dg,mq_pct_dgu,ridge,bagging_dg,floresta
767,1815.69,959.91,954.21,961.18,964.47,962.62,970.92,1016.26,1099.48,1004.57,1020.85,983.59
768,1666.26,1020.14,1037.10,1023.13,1028.24,1019.27,1025.99,1039.91,1102.91,1046.43,1042.02,1020.43
769,1741.95,1008.09,1042.50,1018.25,1017.33,1005.19,1015.86,1028.06,1078.05,1022.03,1028.00,1025.77
770,1666.60,1000.19,1001.29,1020.19,1003.49,997.57,1018.16,1041.30,1118.12,1051.17,1042.66,1004.35
771,1642.49,976.61,982.35,977.02,977.44,978.55,976.54,1002.49,1149.79,1032.09,1006.32,997.61
772,1736.57,1040.75,1040.63,1047.14,1057.70,1045.78,1054.56,1084.73,1222.66,1136.69,1083.41,1063.74
773,1779.73,944.60,954.43,958.36,987.91,937.10,952.99,991.44,1094.59,1000.92,989.04,959.02
774,1718.06,1007.88,1007.96,1009.05,1008.74,1029.47,1031.33,1035.41,1087.76,1016.93,1032.94,1053.54
775,1722.44,1037.85,1035.29,1046.30,1037.40,1032.01,1043.35,1057.16,1149.89,1062.39,1060.06,1073.65
776,1663.47,965.54,973.36,963.56,973.87,952.40,950.73,973.33,1092.30,1010.22,976.82,960.26
777,1693.08,992.70,992.76,991.08,992.64,986.27,985.48,985.05,1127.97,992.43,985.74,996.89
778,1727.43,1029.42,1037.55,1032.40,1030.06,1022.81,1022.81,1063.72,1163.47,1063.14,1065.88,1033.91
779,1751.84,1077.46,1084.63,1081.20,1079.35,1084.10,1089.59,1088.22,1300.39,1160.79,1086.34,1082.77
780,1626.02,990.11,1002.64,999.35,990.22,1002.92,1014.11,1030.68,1141.50,1080.86,1034.98,1031.89
781,1789.47,947.10,947.36,947.60,946.93,930.26,934.31,931.04,1077.45,962.32,930.16,924.36
782,1716.68,1000.22,1010.32,999.30,1005.66,1000.61,1009.61,1023.57,1134.18,1048.88,1023.94,997.34
